kod_kreskowy;nazwa_produktu;cena;kod_produktu;ilość;dostępność
;Artoz 1001 karnet DL ceglasty;1,55;650 292-549;25;
;Artoz 1001 karnet DL czarny;1,55;650 292-219;117;
;Artoz 1001 karnet DL czerwony;1,55;650 292-517;0;
;Artoz 1001 karnet DL fiołkowy;1,55;650 292-423;63;
;Artoz 1001 karnet DL granat;1,55;650 292-417;26;
;Artoz 1001 karnet DL j. kremowy;1,55;650 292-211;0;
;Artoz 1001 karnet DL j.czerwony;1,55;650 292-515;0;
;Artoz 1001 karnet DL j.fiolet;1,55;650 292-425;41;
;Artoz 1001 karnet DL j.morski;1,55;650 292-363;114;
;Artoz 1001 karnet DL j.zieleń;1,55;650 292-331;85;
;Artoz 1001 karnet DL liliowy;1,55;650 292-453;0;
;Artoz 1001 karnet DL mango;1,55;650 292-575;94;
;Artoz 1001 karnet DL miodowy;1,55;650 292-243;0;
;Artoz 1001 karnet DL nieb.pastel;1,55;650 292-413;57;
;Artoz 1001 karnet DL niebieski;1,55;650 292-393;54;
;Artoz 1001 karnet DL niebieski królewski;1,55;650 292-427;44;
;Artoz 1001 karnet DL pomarańcz;1,55;650 292-545;112;
;Artoz 1001 karnet DL popielaty;1,55;650 292-215;0;
;Artoz 1001 karnet DL róż;1,55;650 292-481;0;
;Artoz 1001 karnet DL słoneczny;1,55;650 292-247;72;
;Artoz 1001 karnet DL zieleń;1,55;650 292-337;99;
;Artoz 1001 karnet DL żólty;1,55;650 292-275;130;
;Artoz 1001 karta A4 błękit;2,42;650 696-391;0;
;Artoz 1001 karta A4 brzoskwiniowy;2,42;650 696-571;0;
;Artoz 1001 karta A4 c.śliwkowy;2,42;650 696-489;29;
;Artoz 1001 karta A4 c.zieleń;2,42;650 696-339;20;
;Artoz 1001 karta A4 ceglasty;2,42;650 696-549;17;
;Artoz 1001 karta A4 czarny;2,42;650 696-219;0;
;Artoz 1001 karta A4 czerwony;2,42;650 696-517;0;
;Artoz 1001 karta A4 fiolkowy;2,42;650 696-423;99;
;Artoz 1001 karta A4 granat;2,42;650 696-417;0;
;Artoz 1001 karta A4 j.błękit;2,42;650 696-390;0;
;Artoz 1001 karta A4 j.róż;2,42;650 696-450;0;
;Artoz 1001 karta A4 j.zieleń;2,42;650 696-331;0;
;Artoz 1001 karta A4 j.żółty;2,42;650 696-245;8;
;Artoz 1001 karta A4 kiwi;2,42;650 696-284;2;
;Artoz 1001 karta A4 liliowy;2,42;650 696-453;0;
;Artoz 1001 karta A4 miodowy;2,42;650 696-243;81;
;Artoz 1001 karta A4 nieb.król;2,42;650 696-427;0;
;Artoz 1001 karta A4 nieb.pastel;2,42;650 696-413;0;
;Artoz 1001 karta A4 niebieski;2,42;650 696-393;61;
;Artoz 1001 karta A4 pomarańcz;2,42;650 696-545;75;
;Artoz 1001 karta A4 popielaty;2,42;650 696-215;0;
;Artoz 1001 karta A4 purpurowy;2,42;650 696-487;0;
;Artoz 1001 karta A4 róż;2,42;650 696-481;0;
;Artoz 1001 karta A4 słoneczny;2,42;650 696-247;85;
;Artoz 1001 karta A4 śliwkowy;2,42;650 696-455;0;
;Artoz 1001 karta A4 wios.zieleń;2,42;650 696-305;15;
;Artoz 1001 karta A4 zieleń;2,42;650 696-337;43;
;Artoz 1001 karta A4 żółty;2,42;650 696-275;0;
;Artoz 1001 karta A4, mango;2,42;650 696-575;91;
;Artoz 1001 karta A7, bordowa;0,46;650 136-519;2;WYCOFANY
;Artoz 1001 karta A7, c.zieleń;0,46;650 136-339;0;WYCOFANY
;Artoz 1001 karta A7, czarna;0,46;650 136-219;0;WYCOFANY
;Artoz 1001 karta A7, fiołkowa;0,46;650 136-423;44;WYCOFANY
;Artoz 1001 karta A7, granatowa;0,46;650 136-417;0;WYCOFANY
;Artoz 1001 karta A7, j.fioletowa;0,46;650 136-425;22;WYCOFANY
;Artoz 1001 karta A7, j.morska;0,46;650 136-363;0;WYCOFANY
;Artoz 1001 karta A7, mango;0,46;650 136-575;0;WYCOFANY
;Artoz 1001 karta A7, nieb.król;0,46;650 136-427;23;WYCOFANY
;Artoz 1001 karta A7, nieb.pastelowa;0,46;650 136-413;0;WYCOFANY
;Artoz 1001 karta A7, niebieska;0,46;650 136-393;0;WYCOFANY
;Artoz 1001 karta A7, pomarańczowa;0,46;650 136-545;0;WYCOFANY
;Artoz 1001 karta A7, popielata;0,46;650 136-215;11;WYCOFANY
;Artoz 1001 karta A7, wiosenna zieleń;0,46;650 136-305;0;WYCOFANY
;Artoz 1001 karta A7, zieleń;0,46;650 136-337;0;WYCOFANY
;Artoz 1001 karta B6 bordowy;1,46;650 362-519;21;
;Artoz 1001 karta B6 czerwony;1,46;650 362-517;0;
;Artoz 1001 karta B6 granat;1,46;650 362-417;0;
;Artoz 1001 karta B6 kość słoniowa;1,46;650 362-240;0;
;Artoz 1001 karta B6 kremowy;1,46;650 362-241;0;
;Artoz 1001 karta B6 zieleń;1,46;650 362-337;0;
;Artoz 1001 karta brzoskwiniowy;1,74;650 452-571;0;
;Artoz 1001 karta DL błękit;0,83;650 296-391;25;
;Artoz 1001 karta DL bordowy;0,83;650 296-519;4;
;Artoz 1001 karta DL brzoskwiniowy;0,83;650 296-571;55;
;Artoz 1001 karta DL c.zieleń;0,83;650 296-339;0;
;Artoz 1001 karta DL ceglasty;0,83;650 296-549;27;
;Artoz 1001 karta DL czarny;0,83;650 296-219;22;
;Artoz 1001 karta DL czerwony;0,83;650 296-517;5;
;Artoz 1001 karta DL fiołkowy;0,83;650 296-423;27;
;Artoz 1001 karta DL granat;0,83;650 296-417;0;
;Artoz 1001 karta DL j. kremowy;0,83;650 296-211;0;
;Artoz 1001 karta DL j.czerwony;0,83;650 296-515;51;
;Artoz 1001 karta DL j.fiolet;0,83;650 296-425;50;
;Artoz 1001 karta DL j.morski;0,83;650 296-363;54;
;Artoz 1001 karta DL j.zieleń;0,83;650 296-331;22;
;Artoz 1001 karta DL kremowy;0,83;650 296-241;0;
;Artoz 1001 karta DL liliowy;0,83;650 296-453;40;
;Artoz 1001 karta DL mango;0,83;650 296-575;28;
;Artoz 1001 karta DL miodowy;0,83;650 296-243;29;
;Artoz 1001 karta DL nieb.król;0,83;650 296-427;0;
;Artoz 1001 karta DL nieb.pastel;0,83;650 296-413;58;
;Artoz 1001 karta DL niebieski;0,83;650 296-393;47;
;Artoz 1001 karta DL pomarańcz;0,83;650 296-545;65;
;Artoz 1001 karta DL popielaty;0,83;650 296-215;0;
;Artoz 1001 karta DL róż;0,83;650 296-481;2;
;Artoz 1001 karta DL słoneczny;0,83;650 296-247;30;
;Artoz 1001 karta DL z.jabłko;0,83;650 296-307;28;
;Artoz 1001 karta DL zieleń;0,83;650 296-337;0;
;Artoz 1001 karta DL żółty;0,83;650 296-275;53;
;Artoz 1001 karta fiolkowy;1,74;650 452-423;0;
;Artoz 1001 karta kwadrat c.zieleń;0,98;650 432-339;0;
;Artoz 1001 karta kwadrat czerwony;0,98;650 432-517;0;
;Artoz 1001 karta kwadrat duży błękit;1,74;650 452-391;0;
;Artoz 1001 karta kwadrat duży bordowy;1,74;650 452-519;0;
;Artoz 1001 karta kwadrat duży c.morski;1,74;650 452-367;0;
;Artoz 1001 karta kwadrat duży c.zieleń;1,74;650 452-339;9;
;Artoz 1001 karta kwadrat duży czarny;1,74;650 452-219;16;
;Artoz 1001 karta kwadrat duży j.czerwony;1,74;650 452-515;12;
;Artoz 1001 karta kwadrat duży j.fiolet;1,74;650 452-425;0;
;Artoz 1001 karta kwadrat duży j.zieleń;1,74;650 452-331;0;
;Artoz 1001 karta kwadrat duży kremowy;1,74;650 452-241;0;
;Artoz 1001 karta kwadrat duży liliowy;1,74;650 452-453;8;
;Artoz 1001 karta kwadrat duży mango;1,74;650 452-575;14;
;Artoz 1001 karta kwadrat duży nieb.pastel;1,74;650 452-413;5;
;Artoz 1001 karta kwadrat duży pomarańcz;1,74;650 452-545;20;
;Artoz 1001 karta kwadrat duży popielaty;1,74;650 452-215;0;
;Artoz 1001 karta kwadrat duży zieleń;1,74;650 452-337;0;
